Name	Topic	Year	Value	
BWG	P/E (X)	2015	13.66
BWG	Dividend Yield (%)	09 Jun 2017	2.34
BWG	Dividend Yield (%)	2016	1.84
BWG	Dividend Yield (%)	2015	2.30
CBG	Market Cap (MB.)	09 Jun 2017	73,500.00
CBG	Market Cap (MB.)	2016	76,250.00
CBG	Market Cap (MB.)	2015	34,500.00
CBG	Price (B./share)	09 Jun 2017	73.50
CBG	Price (B./share)	2016	76.25
CBG	Price (B./share)	2015	34.50
CBG	P/E (X)	09 Jun 2017	55.05
CBG	P/E (X)	2016	50.96
CBG	P/E (X)	2015	27.77
CBG	Dividend Yield (%)	09 Jun 2017	1.36
CBG	Dividend Yield (%)	2016	1.17
CBG	Dividend Yield (%)	2015	1.74
CCET	Market Cap (MB.)	09 Jun 2017	15,295.03
CCET	Market Cap (MB.)	2016	12,290.65
CCET	Market Cap (MB.)	2015	15,295.03
CCET	Price (B./share)	09 Jun 2017	3.36
CCET	Price (B./share)	2016	2.70
CCET	Price (B./share)	2015	3.36
CCET	P/E (X)	09 Jun 2017	11.57
CCET	P/E (X)	2016	9.53
CCET	P/E (X)	2015	9.02
CCET	Dividend Yield (%)	09 Jun 2017	2.98
CCET	Dividend Yield (%)	2016	4.81
CCET	Dividend Yield (%)	2015	2.35
CCN	Market Cap (MB.)	09 Jun 2017	2,162.00
CCN	Market Cap (MB.)	2016	768.20
CCN	Market Cap (MB.)	2015	515.20
CCN	Price (B./share)	09 Jun 2017	9.40
CCN	Price (B./share)	2016	3.34
CCN	Price (B./share)	2015	2.24
CCN	P/E (X)	09 Jun 2017	284.04
CCN	P/E (X)	2016	111.75
CCN	P/E (X)	2015	40.98
CCN	Dividend Yield (%)	09 Jun 2017	N/A
CCN	Dividend Yield (%)	2016	1.20
CCN	Dividend Yield (%)	2015	1.79
CCP	Market Cap (MB.)	09 Jun 2017	1,577.78
CCP	Market Cap (MB.)	2016	1,605.46
CCP	Market Cap (MB.)	2015	2,043.76
CCP	Price (B./share)	09 Jun 2017	0.57
CCP	Price (B./share)	2016	0.58
CCP	Price (B./share)	2015	0.78
CCP	P/E (X)	09 Jun 2017	N/A
CCP	P/E (X)	2016	53.47
CCP	P/E (X)	2015	38.35
CCP	Dividend Yield (%)	09 Jun 2017	3.86
CCP	Dividend Yield (%)	2016	3.76
CCP	Dividend Yield (%)	2015	0.27
CEN	Market Cap (MB.)	09 Jun 2017	1,341.25
CEN	Market Cap (MB.)	2016	1,579.70
CEN	Market Cap (MB.)	2015	1,549.89
CEN	Price (B./share)	09 Jun 2017	1.80
CEN	Price (B./share)	2016	2.12
CEN	Price (B./share)	2015	2.08
CEN	P/E (X)	09 Jun 2017	N/A
CEN	P/E (X)	2016	N/A
CEN	P/E (X)	2015	N/A
CEN	Dividend Yield (%)	09 Jun 2017	N/A
CEN	Dividend Yield (%)	2016	N/A
CEN	Dividend Yield (%)	2015	2.03
CENTEL	Market Cap (MB.)	09 Jun 2017	50,287.50
CENTEL	Market Cap (MB.)	2016	53,662.50
CENTEL	Market Cap (MB.)	2015	59,400.00
CENTEL	Price (B./share)	09 Jun 2017	37.25
CENTEL	Price (B./share)	2016	39.75
CENTEL	Price (B./share)	2015	44.00
CENTEL	P/E (X)	09 Jun 2017	26.82
CENTEL	P/E (X)	2016	30.92
CENTEL	P/E (X)	2015	32.10
CENTEL	Dividend Yield (%)	09 Jun 2017	1.48
CENTEL	Dividend Yield (%)	2016	1.26
CENTEL	Dividend Yield (%)	2015	0.91
CFRESH	Market Cap (MB.)	09 Jun 2017	3,198.49
CFRESH	Market Cap (MB.)	2016	3,685.22
CFRESH	Market Cap (MB.)	2015	3,615.69
CFRESH	Price (B./share)	09 Jun 2017	6.90
CFRESH	Price (B./share)	2016	7.95
CFRESH	Price (B./share)	2015	7.80
CFRESH	P/E (X)	09 Jun 2017	15.03
CFRESH	P/E (X)	2016	15.21
CFRESH	P/E (X)	2015	7.32
CFRESH	Dividend Yield (%)	09 Jun 2017	4.06
CFRESH	Dividend Yield (%)	2016	6.92
CFRESH	Dividend Yield (%)	2015	N/A
CGD	Market Cap (MB.)	09 Jun 2017	8,514.11
CGD	Market Cap (MB.)	2016	7,262.93
CGD	Market Cap (MB.)	2015	8,363.38
CGD	Price (B./share)	09 Jun 2017	1.03
CGD	Price (B./share)	2016	0.99
CGD	Price (B./share)	2015	1.14
CGD	P/E (X)	09 Jun 2017	N/A
CGD	P/E (X)	2016	N/A
CGD	P/E (X)	2015	N/A
CGD	Dividend Yield (%)	09 Jun 2017	N/A
CGD	Dividend Yield (%)	2016	N/A
CGD	Dividend Yield (%)	2015	N/A
CGH	Market Cap (MB.)	09 Jun 2017	6,331.68
CGH	Market Cap (MB.)	2016	6,982.20
CGH	Market Cap (MB.)	2015	5,420.96
CGH	Price (B./share)	09 Jun 2017	1.46
CGH	Price (B./share)	2016	1.61
CGH	Price (B./share)	2015	1.25
CGH	P/E (X)	09 Jun 2017	16.03
CGH	P/E (X)	2016	23.11
CGH	P/E (X)	2015	14.38
CGH	Dividend Yield (%)	09 Jun 2017	1.90
CGH	Dividend Yield (%)	2016	2.86
CGH	Dividend Yield (%)	2015	N/A
CHARAN	Market Cap (MB.)	09 Jun 2017	423.00
CHARAN	Market Cap (MB.)	2016	483.00
CHARAN	Market Cap (MB.)	2015	411.00
CHARAN	Price (B./share)	09 Jun 2017	35.25
CHARAN	Price (B./share)	2016	40.25
CHARAN	Price (B./share)	2015	34.25
CHARAN	P/E (X)	09 Jun 2017	22.60
CHARAN	P/E (X)	2016	18.43
CHARAN	P/E (X)	2015	11.03
CHARAN	Dividend Yield (%)	09 Jun 2017	4.26
CHARAN	Dividend Yield (%)	2016	4.97
CHARAN	Dividend Yield (%)	2015	3.65
CHEWA	Market Cap (MB.)	09 Jun 2017	997.50
CHEWA	Market Cap (MB.)	2016	1,215.00
CHEWA	Price (B./share)	09 Jun 2017	1.33
CHEWA	Price (B./share)	2016	1.62
CHEWA	P/E (X)	09 Jun 2017	N/A
CHEWA	P/E (X)	2016	7.55
CHEWA	Dividend Yield (%)	09 Jun 2017	2.26
CHEWA	Dividend Yield (%)	2016	N/A
CHG	Market Cap (MB.)	09 Jun 2017	26,400.00
CHG	Market Cap (MB.)	2016	31,460.00
CHG	Market Cap (MB.)	2015	29,260.00
CHG	Price (B./share)	09 Jun 2017	2.40
CHG	Price (B./share)	2016	2.86
CHG	Price (B./share)	2015	2.66
CHG	P/E (X)	09 Jun 2017	47.11
CHG	P/E (X)	2016	54.71
CHG	P/E (X)	2015	57.60
CHG	Dividend Yield (%)	09 Jun 2017	1.50
CHG	Dividend Yield (%)	2016	1.26
CHG	Dividend Yield (%)	2015	1.13
CHO	Market Cap (MB.)	09 Jun 2017	2,176.61
CHO	Market Cap (MB.)	2016	2,081.98
CHO	Market Cap (MB.)	2015	1,591.31
CHO	Price (B./share)	09 Jun 2017	1.84
CHO	Price (B./share)	2016	1.76
CHO	Price (B./share)	2015	1.75
CHO	P/E (X)	09 Jun 2017	N/A
CHO	P/E (X)	2016	N/A
CHO	P/E (X)	2015	47.58
CHO	Dividend Yield (%)	09 Jun 2017	N/A
CHO	Dividend Yield (%)	2016	0.26
CHO	Dividend Yield (%)	2015	3.08
CHOTI	Market Cap (MB.)	09 Jun 2017	1,451.25
CHOTI	Market Cap (MB.)	2016	1,421.25
CHOTI	Market Cap (MB.)	2015	888.75
CHOTI	Price (B./share)	09 Jun 2017	193.50
CHOTI	Price (B./share)	2016	189.50
CHOTI	Price (B./share)	2015	118.50
CHOTI	P/E (X)	09 Jun 2017	11.94
CHOTI	P/E (X)	2016	11.50
CHOTI	P/E (X)	2015	N/A
CHOTI	Dividend Yield (%)	09 Jun 2017	8.27
CHOTI	Dividend Yield (%)	2016	2.11
CHOTI	Dividend Yield (%)	2015	N/A
CHOW	Market Cap (MB.)	09 Jun 2017	3,360.00
CHOW	Market Cap (MB.)	2016	5,120.00
CHOW	Market Cap (MB.)	2015	3,888.00
CHOW	Price (B./share)	09 Jun 2017	4.20
CHOW	Price (B./share)	2016	6.40
CHOW	Price (B./share)	2015	4.86
CHOW	P/E (X)	09 Jun 2017	N/A
CHOW	P/E (X)	2016	N/A
CHOW	P/E (X)	2015	264.15
CHOW	Dividend Yield (%)	09 Jun 2017	N/A
CHOW	Dividend Yield (%)	2016	N/A
CHOW	Dividend Yield (%)	2015	N/A
CHUO	Market Cap (MB.)	09 Jun 2017	-
CHUO	Market Cap (MB.)	2016	211.10
CHUO	Market Cap (MB.)	2015	238.50
CHUO	Price (B./share)	09 Jun 2017	3.30
CHUO	Price (B./share)	2016	3.30
CHUO	Price (B./share)	2015	3.96
CHUO	P/E (X)	09 Jun 2017	-
CHUO	P/E (X)	2016	N/A
CHUO	P/E (X)	2015	N/A
CHUO	Dividend Yield (%)	09 Jun 2017	-
CHUO	Dividend Yield (%)	2016	N/A
CHUO	Dividend Yield (%)	2015	5.66
CI	Market Cap (MB.)	09 Jun 2017	1,414.67
CI	Market Cap (MB.)	2016	1,692.46
CI	Market Cap (MB.)	2015	1,612.80
CI	Price (B./share)	09 Jun 2017	1.59
CI	Price (B./share)	2016	1.90
CI	Price (B./share)	2015	1.81
CI	P/E (X)	09 Jun 2017	19.90
CI	P/E (X)	2016	23.41
CI	P/E (X)	2015	13.01
CI	Dividend Yield (%)	09 Jun 2017	3.31
CI	Dividend Yield (%)	2016	0.85
CI	Dividend Yield (%)	2015	3.14
CIG	Market Cap (MB.)	09 Jun 2017	492.93
CIG	Market Cap (MB.)	2016	553.46
CIG	Market Cap (MB.)	2015	596.69
CIG	Price (B./share)	09 Jun 2017	0.57
CIG	Price (B./share)	2016	0.64
CIG	Price (B./share)	2015	0.69
CIG	P/E (X)	09 Jun 2017	N/A
CIG	P/E (X)	2016	N/A
CIG	P/E (X)	2015	6.96
CIG	Dividend Yield (%)	09 Jun 2017	N/A
CIG	Dividend Yield (%)	2016	N/A
CIG	Dividend Yield (%)	2015	N/A
CIMBT	Market Cap (MB.)	09 Jun 2017	28,490.94
CIMBT	Market Cap (MB.)	2016	31,711.66
CIMBT	Market Cap (MB.)	2015	26,013.47
CIMBT	Price (B./share)	09 Jun 2017	1.15
CIMBT	Price (B./share)	2016	1.22
CIMBT	Price (B./share)	2015	1.00
CIMBT	P/E (X)	09 Jun 2017	N/A
CIMBT	P/E (X)	2016	31.58
CIMBT	P/E (X)	2015	27.81
CIMBT	Dividend Yield (%)	09 Jun 2017	N/A
CIMBT	Dividend Yield (%)	2016	0.59
CIMBT	Dividend Yield (%)	2015	0.61
CITY	Market Cap (MB.)	09 Jun 2017	1,014.00
CITY	Market Cap (MB.)	2016	960.00
CITY	Market Cap (MB.)	2015	1,014.00
CITY	Price (B./share)	09 Jun 2017	3.38
CITY	Price (B./share)	2016	3.20
CITY	Price (B./share)	2015	3.38
CITY	P/E (X)	09 Jun 2017	13.76
CITY	P/E (X)	2016	13.60
CITY	P/E (X)	2015	9.80
CITY	Dividend Yield (%)	09 Jun 2017	2.37
CITY	Dividend Yield (%)	2016	2.50
CITY	Dividend Yield (%)	2015	3.55
CK	Market Cap (MB.)	09 Jun 2017	46,158.69
CK	Market Cap (MB.)	2016	52,510.80
CK	Market Cap (MB.)	2015	49,123.01
CK	Price (B./share)	09 Jun 2017	27.25
CK	Price (B./share)	2016	31.00
CK	Price (B./share)	2015	29.00
CK	P/E (X)	09 Jun 2017	23.08
CK	P/E (X)	2016	35.53
CK	P/E (X)	2015	17.59
CK	Dividend Yield (%)	09 Jun 2017	1.83
CK	Dividend Yield (%)	2016	2.10
CK	Dividend Yield (%)	2015	1.90
CKP	Market Cap (MB.)	09 Jun 2017	23,878.80
CKP	Market Cap (MB.)	2016	26,237.20
CKP	Market Cap (MB.)	2015	14,592.60
CKP	Price (B./share)	09 Jun 2017	3.24
CKP	Price (B./share)	2016	3.56
CKP	Price (B./share)	2015	1.98
CKP	P/E (X)	09 Jun 2017	N/A
CKP	P/E (X)	2016	66.88
CKP	P/E (X)	2015	31.28
CKP	Dividend Yield (%)	09 Jun 2017	1.85
CKP	Dividend Yield (%)	2016	0.63
CKP	Dividend Yield (%)	2015	0.75
CM	Market Cap (MB.)	09 Jun 2017	2,496.50
CM	Market Cap (MB.)	2016	1,669.42
CM	Market Cap (MB.)	2015	1,478.85
CM	Price (B./share)	09 Jun 2017	6.55
CM	Price (B./share)	2016	4.38
CM	Price (B./share)	2015	3.88
CM	P/E (X)	09 Jun 2017	11.86
CM	P/E (X)	2016	9.54
CM	P/E (X)	2015	14.45
CM	Dividend Yield (%)	09 Jun 2017	5.34
CM	Dividend Yield (%)	2016	4.57
CM	Dividend Yield (%)	2015	2.58
CMO	Market Cap (MB.)	09 Jun 2017	457.28
CMO	Market Cap (MB.)	2016	464.94
CMO	Market Cap (MB.)	2015	322.59
CMO	Price (B./share)	09 Jun 2017	1.79
CMO	Price (B./share)	2016	1.82
CMO	Price (B./share)	2015	1.66
CMO	P/E (X)	09 Jun 2017	N/A
CMO	P/E (X)	2016	N/A
CMO	P/E (X)	2015	N/A
CMO	Dividend Yield (%)	09 Jun 2017	8.10
CMO	Dividend Yield (%)	2016	N/A
CMO	Dividend Yield (%)	2015	N/A
CMR	Market Cap (MB.)	09 Jun 2017	16,655.74
CMR	Market Cap (MB.)	2016	18,747.76
CMR	Market Cap (MB.)	2015	12,149.84
CMR	Price (B./share)	09 Jun 2017	4.14
CMR	Price (B./share)	2016	4.66
CMR	Price (B./share)	2015	3.02
CMR	P/E (X)	09 Jun 2017	45.56
CMR	P/E (X)	2016	48.56
CMR	P/E (X)	2015	23.88
CMR	Dividend Yield (%)	09 Jun 2017	1.11
CMR	Dividend Yield (%)	2016	0.89
CMR	Dividend Yield (%)	2015	1.19
CNS	Market Cap (MB.)	09 Jun 2017	5,333.16
CNS	Market Cap (MB.)	2016	5,333.16
CNS	Market Cap (MB.)	2015	5,204.13
CNS	Price (B./share)	09 Jun 2017	2.48
CNS	Price (B./share)	2016	2.48
CNS	Price (B./share)	2015	2.42
CNS	P/E (X)	09 Jun 2017	12.01
CNS	P/E (X)	2016	14.40
CNS	P/E (X)	2015	10.65
CNS	Dividend Yield (%)	09 Jun 2017	7.26
CNS	Dividend Yield (%)	2016	7.26
CNS	Dividend Yield (%)	2015	7.44
CNT	Market Cap (MB.)	09 Jun 2017	3,991.56
CNT	Market Cap (MB.)	2016	3,911.33
CNT	Market Cap (MB.)	2015	3,209.29
CNT	Price (B./share)	09 Jun 2017	3.98
CNT	Price (B./share)	2016	3.90
CNT	Price (B./share)	2015	3.20
CNT	P/E (X)	09 Jun 2017	26.28
CNT	P/E (X)	2016	57.19
CNT	P/E (X)	2015	N/A
CNT	Dividend Yield (%)	09 Jun 2017	2.51
CNT	Dividend Yield (%)	2016	N/A
CNT	Dividend Yield (%)	2015	1.56
COL	Market Cap (MB.)	09 Jun 2017	17,040.00
COL	Market Cap (MB.)	2016	10,240.00
COL	Market Cap (MB.)	2015	12,800.00
COL	Price (B./share)	09 Jun 2017	53.25
COL	Price (B./share)	2016	32.00
COL	Price (B./share)	2015	40.00
COL	P/E (X)	09 Jun 2017	43.22
COL	P/E (X)	2016	26.19
COL	P/E (X)	2015	32.09
COL	Dividend Yield (%)	09 Jun 2017	1.03
COL	Dividend Yield (%)	2016	1.72
COL	Dividend Yield (%)	2015	1.38
COLOR	Market Cap (MB.)	09 Jun 2017	863.67
COLOR	Market Cap (MB.)	2016	851.93
COLOR	Market Cap (MB.)	2015	774.77
COLOR	Price (B./share)	09 Jun 2017	1.47
COLOR	Price (B./share)	2016	1.46
COLOR	Price (B./share)	2015	1.33
COLOR	P/E (X)	09 Jun 2017	52.51
COLOR	P/E (X)	2016	35.27
COLOR	P/E (X)	2015	32.85
COLOR	Dividend Yield (%)	09 Jun 2017	2.36
COLOR	Dividend Yield (%)	2016	N/A
COLOR	Dividend Yield (%)	2015	N/A
COM7	Market Cap (MB.)	09 Jun 2017	14,040.00
COM7	Market Cap (MB.)	2016	15,720.00
COM7	Market Cap (MB.)	2015	6,180.00
COM7	Price (B./share)	09 Jun 2017	11.70
COM7	Price (B./share)	2016	13.10
COM7	Price (B./share)	2015	5.15
COM7	P/E (X)	09 Jun 2017	32.10
COM7	P/E (X)	2016	42.99
COM7	P/E (X)	2015	25.63
COM7	Dividend Yield (%)	09 Jun 2017	2.14
COM7	Dividend Yield (%)	2016	1.15
COM7	Dividend Yield (%)	2015	N/A
COMAN	Market Cap (MB.)	09 Jun 2017	1,085.40
COMAN	Market Cap (MB.)	2016	1,279.70
COMAN	Price (B./share)	09 Jun 2017	8.10
COMAN	Price (B./share)	2016	9.55
COMAN	P/E (X)	09 Jun 2017	42.15
COMAN	P/E (X)	2016	46.63
COMAN	Dividend Yield (%)	09 Jun 2017	0.63
COMAN	Dividend Yield (%)	2016	N/A
CPALL	Market Cap (MB.)	09 Jun 2017	556,952.28
CPALL	Market Cap (MB.)	2016	561,443.83
CPALL	Market Cap (MB.)	2015	352,586.73
CPALL	Price (B./share)	09 Jun 2017	62.00
CPALL	Price (B./share)	2016	62.50
CPALL	Price (B./share)	2015	39.25
CPALL	P/E (X)	09 Jun 2017	32.05
CPALL	P/E (X)	2016	34.55
CPALL	P/E (X)	2015	28.62
CPALL	Dividend Yield (%)	09 Jun 2017	1.61
CPALL	Dividend Yield (%)	2016	1.44
CPALL	Dividend Yield (%)	2015	2.04
CPF	Market Cap (MB.)	09 Jun 2017	195,509.28
CPF	Market Cap (MB.)	2016	228,416.79
CPF	Market Cap (MB.)	2015	141,695.84
CPF	Price (B./share)	09 Jun 2017	25.25
CPF	Price (B./share)	2016	29.50
CPF	Price (B./share)	2015	18.30
CPF	P/E (X)	09 Jun 2017	13.13
CPF	P/E (X)	2016	15.74
CPF	P/E (X)	2015	13.73
CPF	Dividend Yield (%)	09 Jun 2017	3.76
CPF	Dividend Yield (%)	2016	2.54
CPF	Dividend Yield (%)	2015	4.10
CPH	Market Cap (MB.)	09 Jun 2017	302.00
CPH	Market Cap (MB.)	2016	320.00
CPH	Market Cap (MB.)	2015	326.00
CPH	Price (B./share)	09 Jun 2017	7.55
CPH	Price (B./share)	2016	8.00
CPH	Price (B./share)	2015	8.15
CPH	P/E (X)	09 Jun 2017	N/A
CPH	P/E (X)	2016	N/A
CPH	P/E (X)	2015	N/A
CPH	Dividend Yield (%)	09 Jun 2017	N/A
CPH	Dividend Yield (%)	2016	N/A
CPH	Dividend Yield (%)	2015	N/A
CPI	Market Cap (MB.)	09 Jun 2017	1,404.71
CPI	Market Cap (MB.)	2016	1,708.43
CPI	Market Cap (MB.)	2015	1,063.02
CPI	Price (B./share)	09 Jun 2017	2.22
CPI	Price (B./share)	2016	2.70
CPI	Price (B./share)	2015	1.68
CPI	P/E (X)	09 Jun 2017	N/A
CPI	P/E (X)	2016	132.86
CPI	P/E (X)	2015	N/A
CPI	Dividend Yield (%)	09 Jun 2017	1.35
CPI	Dividend Yield (%)	2016	1.11
CPI	Dividend Yield (%)	2015	3.16
CPL	Market Cap (MB.)	09 Jun 2017	1,581.35
CPL	Market Cap (MB.)	2016	844.80
CPL	Market Cap (MB.)	2015	957.00
CPL	Price (B./share)	09 Jun 2017	37.75
CPL	Price (B./share)	2016	32.00
CPL	Price (B./share)	2015	36.25
CPL	P/E (X)	09 Jun 2017	52.84
CPL	P/E (X)	2016	N/A
CPL	P/E (X)	2015	13.10
CPL	Dividend Yield (%)	09 Jun 2017	N/A
CPL	Dividend Yield (%)	2016	4.69
CPL	Dividend Yield (%)	2015	6.90
CPN	Market Cap (MB.)	09 Jun 2017	311,916.00
CPN	Market Cap (MB.)	2016	254,694.00
CPN	Market Cap (MB.)	2015	210,936.00
CPN	Price (B./share)	09 Jun 2017	69.50
CPN	Price (B./share)	2016	56.75
CPN	Price (B./share)	2015	47.00
CPN	P/E (X)	09 Jun 2017	32.39
CPN	P/E (X)	2016	28.50
CPN	P/E (X)	2015	27.08
CPN	Dividend Yield (%)	09 Jun 2017	1.19
CPN	Dividend Yield (%)	2016	1.23
CPN	Dividend Yield (%)	2015	1.38
CPNCG	Market Cap (MB.)	09 Jun 2017	5,588.97
CPNCG	Market Cap (MB.)	2016	6,271.59
CPNCG	Market Cap (MB.)	2015	5,631.63
CPNCG	Price (B./share)	09 Jun 2017	13.10
CPNCG	Price (B./share)	2016	14.70
CPNCG	Price (B./share)	2015	13.20
CPNCG	P/E (X)	09 Jun 2017	-
CPNCG	P/E (X)	2016	-
CPNCG	P/E (X)	2015	-
CPNCG	Dividend Yield (%)	09 Jun 2017	7.07
CPNCG	Dividend Yield (%)	2016	5.84
CPNCG	Dividend Yield (%)	2015	5.97
CPNRF	Market Cap (MB.)	09 Jun 2017	39,382.09
CPNRF	Market Cap (MB.)	2016	43,143.30
CPNRF	Market Cap (MB.)	2015	37,833.35
CPNRF	Price (B./share)	09 Jun 2017	17.80
CPNRF	Price (B./share)	2016	19.50
CPNRF	Price (B./share)	2015	17.10
CPNRF	P/E (X)	09 Jun 2017	-
CPNRF	P/E (X)	2016	-
CPNRF	P/E (X)	2015	-
CPNRF	Dividend Yield (%)	09 Jun 2017	6.48
CPNRF	Dividend Yield (%)	2016	5.17
CPNRF	Dividend Yield (%)	2015	5.57
CPR	Market Cap (MB.)	09 Jun 2017	1,353.20
CPR	Market Cap (MB.)	2016	1,343.25
CPR	Market Cap (MB.)	2015	1,462.65
CPR	Price (B./share)	09 Jun 2017	6.80
CPR	Price (B./share)	2016	6.75
CPR	Price (B./share)	2015	7.35
CPR	P/E (X)	09 Jun 2017	16.32
CPR	P/E (X)	2016	16.89
CPR	P/E (X)	2015	26.64
CPR	Dividend Yield (%)	09 Jun 2017	2.06
CPR	Dividend Yield (%)	2016	1.63
CPR	Dividend Yield (%)	2015	1.03
CPTGF	Market Cap (MB.)	09 Jun 2017	11,604.00
CPTGF	Market Cap (MB.)	2016	14,505.00
CPTGF	Market Cap (MB.)	2015	10,153.50
CPTGF	Price (B./share)	09 Jun 2017	12.00
CPTGF	Price (B./share)	2016	15.00
CPTGF	Price (B./share)	2015	10.50
CPTGF	P/E (X)	09 Jun 2017	-
CPTGF	P/E (X)	2016	-
CPTGF	P/E (X)	2015	-
CPTGF	Dividend Yield (%)	09 Jun 2017	6.62
CPTGF	Dividend Yield (%)	2016	5.27
CPTGF	Dividend Yield (%)	2015	5.45
CRANE	Market Cap (MB.)	09 Jun 2017	1,490.35
CRANE	Market Cap (MB.)	2016	1,949.99
CRANE	Market Cap (MB.)	2015	1,699.28
CRANE	Price (B./share)	09 Jun 2017	2.14
CRANE	Price (B./share)	2016	2.67
CRANE	Price (B./share)	2015	2.33
CRANE	P/E (X)	09 Jun 2017	N/A
CRANE	P/E (X)	2016	N/A
CRANE	P/E (X)	2015	360.56
CRANE	Dividend Yield (%)	09 Jun 2017	N/A
CRANE	Dividend Yield (%)	2016	N/A
CRANE	Dividend Yield (%)	2015	0.46
CRYSTAL	Market Cap (MB.)	09 Jun 2017	4,407.00
CRYSTAL	Market Cap (MB.)	2016	4,329.00
CRYSTAL	Market Cap (MB.)	2015	4,017.00
CRYSTAL	Price (B./share)	09 Jun 2017	11.30
CRYSTAL	Price (B./share)	2016	11.10
CRYSTAL	Price (B./share)	2015	10.30
CRYSTAL	P/E (X)	09 Jun 2017	-
CRYSTAL	P/E (X)	2016	-
CRYSTAL	P/E (X)	2015	-
CRYSTAL	Dividend Yield (%)	09 Jun 2017	6.92
CRYSTAL	Dividend Yield (%)	2016	7.21
CRYSTAL	Dividend Yield (%)	2015	7.41
CSC	Market Cap (MB.)	09 Jun 2017	3,107.00
CSC	Market Cap (MB.)	2016	3,029.00
CSC	Market Cap (MB.)	2015	2,678.00
CSC	Price (B./share)	09 Jun 2017	59.75
CSC	Price (B./share)	2016	58.25
CSC	Price (B./share)	2015	51.50
CSC	P/E (X)	09 Jun 2017	8.81
CSC	P/E (X)	2016	7.95
CSC	P/E (X)	2015	7.48
CSC	Dividend Yield (%)	09 Jun 2017	4.18
CSC	Dividend Yield (%)	2016	3.00
CSC	Dividend Yield (%)	2015	3.40
CSL	Market Cap (MB.)	09 Jun 2017	3,567.09
CSL	Market Cap (MB.)	2016	3,537.36
CSL	Market Cap (MB.)	2015	3,685.99
CSL	Price (B./share)	09 Jun 2017	6.00
CSL	Price (B./share)	2016	5.95
CSL	Price (B./share)	2015	6.20
CSL	P/E (X)	09 Jun 2017	11.64
CSL	P/E (X)	2016	11.21
CSL	P/E (X)	2015	10.72
CSL	Dividend Yield (%)	09 Jun 2017	7.33
CSL	Dividend Yield (%)	2016	7.39
CSL	Dividend Yield (%)	2015	9.19
CSP	Market Cap (MB.)	09 Jun 2017	1,528.20
CSP	Market Cap (MB.)	2016	1,111.41
CSP	Market Cap (MB.)	2015	848.44
CSP	Price (B./share)	09 Jun 2017	3.08
CSP	Price (B./share)	2016	2.24
CSP	Price (B./share)	2015	1.71
CSP	P/E (X)	09 Jun 2017	8.86
CSP	P/E (X)	2016	28.15
CSP	P/E (X)	2015	N/A
CSP	Dividend Yield (%)	09 Jun 2017	3.25
CSP	Dividend Yield (%)	2016	N/A
CSP	Dividend Yield (%)	2015	9.36
CSR	Market Cap (MB.)	09 Jun 2017	1,230.00
CSR	Market Cap (MB.)	2016	1,235.12
CSR	Market Cap (MB.)	2015	1,271.00
CSR	Price (B./share)	09 Jun 2017	60.00
CSR	Price (B./share)	2016	60.25
CSR	Price (B./share)	2015	62.00
CSR	P/E (X)	09 Jun 2017	19.60
CSR	P/E (X)	2016	20.48
CSR	P/E (X)	2015	18.09
CSR	Dividend Yield (%)	09 Jun 2017	3.00
CSR	Dividend Yield (%)	2016	3.39
CSR	Dividend Yield (%)	2015	3.37
CSS	Market Cap (MB.)	09 Jun 2017	3,832.91
CSS	Market Cap (MB.)	2016	3,268.55
CSS	Market Cap (MB.)	2015	5,097.88
CSS	Price (B./share)	09 Jun 2017	3.26
CSS	Price (B./share)	2016	2.78
CSS	Price (B./share)	2015	4.78
CSS	P/E (X)	09 Jun 2017	19.09
CSS	P/E (X)	2016	19.01
CSS	P/E (X)	2015	18.23
CSS	Dividend Yield (%)	09 Jun 2017	4.91
CSS	Dividend Yield (%)	2016	6.83
CSS	Dividend Yield (%)	2015	1.01
CTARAF	Market Cap (MB.)	09 Jun 2017	1,440.00
CTARAF	Market Cap (MB.)	2016	1,472.00
CTARAF	Market Cap (MB.)	2015	1,203.20
CTARAF	Price (B./share)	09 Jun 2017	4.50
CTARAF	Price (B./share)	2016	4.60
CTARAF	Price (B./share)	2015	3.76
CTARAF	P/E (X)	09 Jun 2017	-
CTARAF	P/E (X)	2016	-
CTARAF	P/E (X)	2015	-
CTARAF	Dividend Yield (%)	09 Jun 2017	16.30
CTARAF	Dividend Yield (%)	2016	6.72
CTARAF	Dividend Yield (%)	2015	8.24
CTW	Market Cap (MB.)	09 Jun 2017	4,098.43
CTW	Market Cap (MB.)	2016	4,138.23
CTW	Market Cap (MB.)	2015	3,322.52
CTW	Price (B./share)	09 Jun 2017	10.30
CTW	Price (B./share)	2016	10.40
CTW	Price (B./share)	2015	8.35
CTW	P/E (X)	09 Jun 2017	12.20
CTW	P/E (X)	2016	22.65
CTW	P/E (X)	2015	N/A
CTW	Dividend Yield (%)	09 Jun 2017	3.40
CTW	Dividend Yield (%)	2016	1.92
CTW	Dividend Yield (%)	2015	4.19
CWT	Market Cap (MB.)	09 Jun 2017	1,745.72
CWT	Market Cap (MB.)	2016	2,123.79
CWT	Market Cap (MB.)	2015	849.81
CWT	Price (B./share)	09 Jun 2017	2.82
CWT	Price (B./share)	2016	3.78
CWT	Price (B./share)	2015	1.99
CWT	P/E (X)	09 Jun 2017	73.24
CWT	P/E (X)	2016	29.68
CWT	P/E (X)	2015	11.00
